company,companyLabel,countryLabel,foundingYearShort,revenue,revenueYear,revenueCurrencyLabel,employees,employeesYear,equity,equityYear,equityCurrencyLabel
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,37184400000,2025,US dollar,191000,2014,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,37184400000,2025,US dollar,383000,2021,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,37184400000,2025,US dollar,245000,2016,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,36176200000,2024,US dollar,191000,2014,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,36176200000,2024,US dollar,383000,2021,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,36176200000,2024,US dollar,245000,2016,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,35975600000,2023,US dollar,191000,2014,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,35975600000,2023,US dollar,383000,2021,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,35975600000,2023,US dollar,245000,2016,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,32250300000,2022,US dollar,191000,2014,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,32250300000,2022,US dollar,383000,2021,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,32250300000,2022,US dollar,245000,2016,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,29060600000,2021,US dollar,191000,2014,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,29060600000,2021,US dollar,383000,2021,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q37158,Starbucks,США,1971,29060600000,2021,US dollar,245000,2016,-5321200000,2021,US dollar
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,Euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,Euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,Euro,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,евро,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,евро,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,евро,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,ευρώ,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,ευρώ,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,ευρώ,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,98105,2021,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,101911,2020,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,100000,2023,,,
http://www.wikidata.org/entity/Q329426,Danone,Испания,1919,27661000000,2022,euro,98105,2021,,,
