tea,teaLabel,type,typeLabel,country,countryLabel,processingMethod,processingMethodLabel,subclass,subclassLabel,image
http://www.wikidata.org/entity/Q2106693,Baozhong,,,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),,,http://www.wikidata.org/entity/Q231587,Улун,http://commons.wikimedia.org/wiki/Special:FilePath/Spring%20pouchong%20tea%20leaves%20on%20plate.jpg
http://www.wikidata.org/entity/Q5579671,Golden Monkey tea,,,,,,,http://www.wikidata.org/entity/Q203415,чёрный чай,
http://www.wikidata.org/entity/Q4968672,Brisk,,,,,,,http://www.wikidata.org/entity/Q348958,холодный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Brisk%20Iced%20Tea%202.jpg
http://www.wikidata.org/entity/Q7666293,Söder tea,,,http://www.wikidata.org/entity/Q34,Швеция,,,http://www.wikidata.org/entity/Q203415,чёрный чай,
http://www.wikidata.org/entity/Q2596949,Тамарёкутя,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q484083,зелёный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Tamaryokucha.jpg
http://www.wikidata.org/entity/Q3733375,Estathé,,,http://www.wikidata.org/entity/Q38,Италия,,,http://www.wikidata.org/entity/Q348958,холодный чай,
http://www.wikidata.org/entity/Q835553,Да Хун Пао,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q231587,Улун,http://commons.wikimedia.org/wiki/Special:FilePath/Da%20Hong%20Pao%20Oolong%20tea%20leaf.jpg
http://www.wikidata.org/entity/Q788624,Бай Мудань,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q238306,белый чай,http://commons.wikimedia.org/wiki/Special:FilePath/Bai%20Mudan.jpg
http://www.wikidata.org/entity/Q788624,Бай Мудань,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q238306,белый чай,http://commons.wikimedia.org/wiki/Special:FilePath/Frisch%20aufgebr%C3%BChter%20wei%C3%9Fer%20Tee%20Pai%20Mu%20Tan.jpg
http://www.wikidata.org/entity/Q5463781,Fo Shou tea,,,,,,,http://www.wikidata.org/entity/Q231587,Улун,http://commons.wikimedia.org/wiki/Special:FilePath/Fo%20Shou%20Oolong%20tea%20leaf.jpg
http://www.wikidata.org/entity/Q10576721,Mao Jian,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q484083,зелёный чай,
http://www.wikidata.org/entity/Q3179181,Jin Fo tea,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q4938043,Wuyi tea,http://commons.wikimedia.org/wiki/Special:FilePath/Jin%20Fo%20Oolong%20tea%20leaf.jpg
http://www.wikidata.org/entity/Q7504737,Shui Jin Gui tea,,,,,,,http://www.wikidata.org/entity/Q231587,Улун,
http://www.wikidata.org/entity/Q10877593,Q10877593,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q203415,чёрный чай,
http://www.wikidata.org/entity/Q905532,Prince of Wales tea blend,,,http://www.wikidata.org/entity/Q145,Великобритания,,,http://www.wikidata.org/entity/Q203415,чёрный чай,
http://www.wikidata.org/entity/Q3242270,Lipton Ice Tea,,,http://www.wikidata.org/entity/Q30,США,,,http://www.wikidata.org/entity/Q348958,холодный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Lipton%20Ice%20Tea%20Green.JPG
http://www.wikidata.org/entity/Q1376140,Кимун,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q203415,чёрный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Keemun%20FTGFOP%20%281%29.JPG
http://www.wikidata.org/entity/Q1376140,Кимун,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q203415,чёрный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Qimen%20Hao%20Ya.jpg
http://www.wikidata.org/entity/Q835553,Да Хун Пао,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q231587,Улун,http://commons.wikimedia.org/wiki/Special:FilePath/Da%20Hong%20Pao%20Oolong%20tea%20leaf%20close.jpg
http://www.wikidata.org/entity/Q789960,Бантя,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q1334390,сентя,http://commons.wikimedia.org/wiki/Special:FilePath/Green%20tea%20Bancha.jpg
http://www.wikidata.org/entity/Q789960,Бантя,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q1334390,сентя,http://commons.wikimedia.org/wiki/Special:FilePath/Shizuoka%20bancha.jpg
http://www.wikidata.org/entity/Q789960,Бантя,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q1334390,сентя,http://commons.wikimedia.org/wiki/Special:FilePath/Shizuoka%20bancha%20-%20second%20infusion.jpg
