company,companyLabel,productTypeLabel,revenue,revenueYear,revenueCurrencyLabel,employees,employeesYear,netProfit,netProfitYear,netProfitCurrencyLabel
http://www.wikidata.org/entity/Q101249024,Q101249024,чай,,,,,,,,
http://www.wikidata.org/entity/Q1020913,Bünting-Gruppe,чай,,,,,,,,
http://www.wikidata.org/entity/Q104530260,Tjiboeni-Tjipongpok Caoutchouc Maatschappij,кофе,,,,,,,,
http://www.wikidata.org/entity/Q104530260,Tjiboeni-Tjipongpok Caoutchouc Maatschappij,чай,,,,,,,,
http://www.wikidata.org/entity/Q104733666,"Sumatra Rubber Cultuur Maatschappij ""Serbadjadi""",кофе,,,,,,,,
http://www.wikidata.org/entity/Q104887237,"Rubber Cultuur Maatschappij ""Kendeng Lemboe""",кофе,,,,,,,,
http://www.wikidata.org/entity/Q104888250,Bandar Rubber Maatschappij,кофе,,,,,,,,
http://www.wikidata.org/entity/Q10489162,Espresso House,кофе,,,,,,,,
http://www.wikidata.org/entity/Q105064589,Cambuhy Coffee and Cotton Estates,кофе,,,,,,,,
http://www.wikidata.org/entity/Q105071259,Ceylon Tea Plantations,чай,,,,,,,,
http://www.wikidata.org/entity/Q105080718,Amsterdam-Tapanoeli Rubber Cultur Maatschappij,кофе,,,,,,,,
http://www.wikidata.org/entity/Q105233535,Cultuur Maatschappij Pondok-Gedeh,кофе,,,,,,,,
http://www.wikidata.org/entity/Q105233535,Cultuur Maatschappij Pondok-Gedeh,чай,,,,,,,,
http://www.wikidata.org/entity/Q105274801,Loumidis,кофе,,,,,,,,
http://www.wikidata.org/entity/Q105296791,Dutch East Indian Agricultural Company,чай,,,,,,,,
http://www.wikidata.org/entity/Q105426875,British Rubber Estates of Java,кофе,,,,,,,,
http://www.wikidata.org/entity/Q105426875,British Rubber Estates of Java,чай,,,,,,,,
http://www.wikidata.org/entity/Q1054692,Twinings,чай,,,,,,,,
http://www.wikidata.org/entity/Q105477506,Insulinde Cultuur Syndicaat,кофе,,,,,,,,
http://www.wikidata.org/entity/Q105477506,Insulinde Cultuur Syndicaat,чай,,,,,,,,
http://www.wikidata.org/entity/Q105542987,Moluccan Trade Company,кофе,,,,,,,,
http://www.wikidata.org/entity/Q105714225,dr.cafe Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q106290996,Bajoe Kidoel Rubber & Produce Co.,кофе,,,,,,,,
http://www.wikidata.org/entity/Q106291172,Harrisons & Crosfield,чай,,,,,,,,
http://www.wikidata.org/entity/Q106360262,Nerada Tea,чай,,,,,,,,
http://www.wikidata.org/entity/Q106494090,Deli-Batavia Rubber Maatschappij,кофе,,,,,,,,
http://www.wikidata.org/entity/Q106608890,Alpha Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q106838103,Djember Rubber Estates,кофе,,,,,,,,
http://www.wikidata.org/entity/Q107151170,Kolls,кофе,,,,,,,,
http://www.wikidata.org/entity/Q1072166,чайная,чай,,,,,,,,
http://www.wikidata.org/entity/Q107898772,tea company,чай,,,,,,,,
http://www.wikidata.org/entity/Q10939065,TenRen's Tea,чай,,,,,,,,
http://www.wikidata.org/entity/Q110122154,Q110122154,чай,,,,,,,,
http://www.wikidata.org/entity/Q110769361,FLORAPHARM Pflanzliche Naturprodukte GmbH,чай,,,,,,,,
http://www.wikidata.org/entity/Q110835078,Devolli Corporation,кофе,400000000,2021,евро,4200,2021,,,
http://www.wikidata.org/entity/Q111729778,Rakkasan Tea Company,чай,,,,,,,,
http://www.wikidata.org/entity/Q112216492,"Landbouw Maatschappij ""Pasir Kananga""",чай,,,,,,,,
http://www.wikidata.org/entity/Q112861795,Tanoak seed,кофе,,,,,,,,
http://www.wikidata.org/entity/Q113059957,Mel-O-Cream Donuts,кофе,,,,,,,,
http://www.wikidata.org/entity/Q113383595,Q113383595,чай,,,,,,,,
http://www.wikidata.org/entity/Q114067073,Xianluoguo,чай,,,,,,,,
http://www.wikidata.org/entity/Q1147545,френч-пресс,кофе,,,,,,,,
http://www.wikidata.org/entity/Q1147545,френч-пресс,чай,,,,,,,,
http://www.wikidata.org/entity/Q114828290,machi machi,чай,,,,,,,,
http://www.wikidata.org/entity/Q115136213,Rwanda Mountain Tea LTD,чай,,,,,,,,
http://www.wikidata.org/entity/Q116766725,Central American Plantations Corporation,кофе,,,,,,,,
http://www.wikidata.org/entity/Q117841805,"Antique Assam Tea Farm, Sun Moon Lake",чай,,,,,,,,
http://www.wikidata.org/entity/Q118489697,El Chaná,кофе,,,,,,,,
http://www.wikidata.org/entity/Q1185060,Ueshima Coffee Company,кофе,,,,3668,,,,
http://www.wikidata.org/entity/Q12055615,Crazy Mocha Coffee Company,кофе,,,,,,,,
http://www.wikidata.org/entity/Q12058335,Jemča,чай,152244000,2019,чешская крона,77,2019,-14803000,2019,чешская крона
http://www.wikidata.org/entity/Q120997937,Compose Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q120997937,Compose Coffee,чай,,,,,,,,
http://www.wikidata.org/entity/Q121072061,Barn's,кофе,,,,,,,,
http://www.wikidata.org/entity/Q12169079,Чайная плантация,чай,,,,,,,,
http://www.wikidata.org/entity/Q122764967,Santos Palace,кофе,,,,,,,,
http://www.wikidata.org/entity/Q12302886,Baresso,кофе,,,,,,,,
http://www.wikidata.org/entity/Q12302886,Baresso,чай,,,,,,,,
http://www.wikidata.org/entity/Q12326689,Q12326689,кофе,,,,,,,,
http://www.wikidata.org/entity/Q12331633,Peter Larsens Kaffe,кофе,,,,,,,,
http://www.wikidata.org/entity/Q123416993,Sea Dyke,чай,,,,,,,,
http://www.wikidata.org/entity/Q1252809,Douwe Egberts,кофе,,,,7579,,,,
http://www.wikidata.org/entity/Q1252809,Douwe Egberts,чай,,,,7579,,,,
http://www.wikidata.org/entity/Q125292463,Madura Tea Estates,чай,,,,,,,,
http://www.wikidata.org/entity/Q12611298,Ediya Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q12611298,Ediya Coffee,чай,,,,,,,,
http://www.wikidata.org/entity/Q126468015,Kuddly Krab,чай,,,,,,,,
http://www.wikidata.org/entity/Q126489285,Pickup Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q12810467,Kurukahveci Mehmet Efendi,кофе,,,,,,,,
http://www.wikidata.org/entity/Q129256375,Fresh Corner,кофе,,,,,,,,
http://www.wikidata.org/entity/Q129256375,Fresh Corner,чай,,,,,,,,
http://www.wikidata.org/entity/Q130334843,Delikana,кофе,,,,,,,,
http://www.wikidata.org/entity/Q130868061,Stop Cafe,кофе,,,,,,,,
http://www.wikidata.org/entity/Q131426654,Белкофе,кофе,2033000,2023,Белорусский рубль,49,2016,7000,2023,Белорусский рубль
http://www.wikidata.org/entity/Q131936188,Retrograde Wrexham,кофе,,,,,,,,
http://www.wikidata.org/entity/Q132291927,Fleur de Café,кофе,,,,18,2024,,,
http://www.wikidata.org/entity/Q132291927,Fleur de Café,чай,,,,18,2024,,,
http://www.wikidata.org/entity/Q135728368,Saquella,кофе,,,,,,,,
http://www.wikidata.org/entity/Q136734522,La Donuteria,кофе,,,,,,,,
http://www.wikidata.org/entity/Q136735524,Caffé Trieste,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137293468,Dreamers Coffee Roasters,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137293570,Miacucina,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137293809,PRESERVE,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137533120,Happy Farmer,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137610754,Q137610754,кофе,,,,280,2024,,,
http://www.wikidata.org/entity/Q137888394,Miopane USA,кофе,,,,,,,,
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,кофе,,,,,,,,
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,чай,,,,,,,,
http://www.wikidata.org/entity/Q1502774,Massimo Zanetti Beverage Group,кофе,,,,,,,,
http://www.wikidata.org/entity/Q15951082,Русский продукт,кофе,,,,,,,,
http://www.wikidata.org/entity/Q16908964,T K Group of Industries,чай,,,,,,,,
http://www.wikidata.org/entity/Q16951700,Sumo Salad,кофе,,,,,,,,
http://www.wikidata.org/entity/Q16952021,Mikel Coffee Company,кофе,33439000,2014,евро,3000,2020,13000000,2018,евро
http://www.wikidata.org/entity/Q16952021,Mikel Coffee Company,кофе,33439000,2014,евро,3000,2020,13500000,2020,евро
http://www.wikidata.org/entity/Q16952021,Mikel Coffee Company,кофе,33439000,2014,евро,3000,2020,12133000,2014,евро
http://www.wikidata.org/entity/Q16966589,TWG Tea,чай,,,,,,,,
http://www.wikidata.org/entity/Q16993987,Gaviña Gourmet Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q16998937,La Prima Espresso Company,кофе,,,,,,,,
http://www.wikidata.org/entity/Q17000871,Dwinell-Wright Company,кофе,,,,,,,,
http://www.wikidata.org/entity/Q1704731,Габет,кофе,,,,,,,,
http://www.wikidata.org/entity/Q17059517,Yorkshire Tea,чай,,,,,,,,
http://www.wikidata.org/entity/Q17064706,Limuru Tea Company Limited,чай,,,,,,,,
http://www.wikidata.org/entity/Q17069332,Esquires,кофе,,,,,,,,
http://www.wikidata.org/entity/Q17087777,Two Leaves Tea Company,чай,,,,,,,,
http://www.wikidata.org/entity/Q17110502,Kakuzi Limited,чай,,,,,,,,
http://www.wikidata.org/entity/Q17119335,Upton Tea Imports,чай,,,,,,,,
http://www.wikidata.org/entity/Q17165535,BKI Foods,кофе,940000000,2024,датская крона,245,2024,,,
http://www.wikidata.org/entity/Q17165535,BKI Foods,чай,940000000,2024,датская крона,245,2024,,,
http://www.wikidata.org/entity/Q175106,Тим Хортонс,кофе,,,,,,,,
http://www.wikidata.org/entity/Q18148458,Farmer Brothers,кофе,,,,,,,,
http://www.wikidata.org/entity/Q18161207,Джок Уиллис Шиппинг Лайн,чай,,,,,,,,
http://www.wikidata.org/entity/Q18166370,Pie Face,кофе,,,,,,,,
http://www.wikidata.org/entity/Q18208286,Bucking Bull,кофе,,,,,,,,
