company,companyLabel,productTypeLabel,countryLabel,hqLabel,hqCoord,foundingYearShort
http://www.wikidata.org/entity/Q83164,Британская Ост-Индская компания,чай,Соединённое королевство Великобритании и Ирландии,Лондон,Point(-0.1275 51.507222222),1600
http://www.wikidata.org/entity/Q83164,Британская Ост-Индская компания,чай,Соединённое королевство Великобритании и Ирландии,Лондон,Point(-0.1275 51.507222222),1600
http://www.wikidata.org/entity/Q175106,Тим Хортонс,кофе,Канада,Оквилл,Point(-79.683333333 43.45),1964
http://www.wikidata.org/entity/Q301301,Nespresso,кофе,Швейцария,Лозанна,Point(6.633333333 46.533333333),1986
http://www.wikidata.org/entity/Q327751,Kraft Foods,кофе,США,Нортфилд,Point(-87.766666666 42.1),2012
http://www.wikidata.org/entity/Q329426,Danone,кофе,Испания,Париж,Point(2.352222222 48.856666666),1919
http://www.wikidata.org/entity/Q329426,Danone,кофе,Испания,Париж,Point(2.307222 48.875),1919
http://www.wikidata.org/entity/Q361836,Yogi Tea,чай,США,Спрингфилд,Point(-123.021944444 44.046111111),1984
http://www.wikidata.org/entity/Q381188,AeroPress,кофе,,,,2005
http://www.wikidata.org/entity/Q543750,Lavazza,кофе,Италия,Турин,Point(7.676111111 45.079166666),1895
http://www.wikidata.org/entity/Q564213,Tchibo,кофе,Германия,Гамбург,Point(10.0 53.55),1949
http://www.wikidata.org/entity/Q576340,Maspex,кофе,Польша,Вадовице,Point(19.516666666 49.9),1990
http://www.wikidata.org/entity/Q576340,Maspex,чай,Польша,Вадовице,Point(19.516666666 49.9),1990
http://www.wikidata.org/entity/Q608845,Costa Coffee,кофе,Великобритания,Данстейбл,Point(-0.52102 51.886),1971
http://www.wikidata.org/entity/Q670154,Julius Meinl,кофе,Австрия,Вена,Point(16.3725 48.208333333),1862
http://www.wikidata.org/entity/Q700040,Остендская компания,чай,Австрийские Нидерланды,Антверпен,Point(4.399722222 51.221111111),1722
http://www.wikidata.org/entity/Q766351,Tazo,чай,США,Портленд,Point(-122.666666666 45.516666666),1994
http://www.wikidata.org/entity/Q795386,Teavana,чай,США,Атланта,Point(-84.389722222 33.754444444),1997
http://www.wikidata.org/entity/Q795575,Diedrich Coffee,кофе,,Ирвайн,Point(-117.7925 33.684166666),1972
http://www.wikidata.org/entity/Q847743,Dunkin’ Donuts,кофе,США,Кантон,Point(-71.145277777 42.158333333),1950
http://www.wikidata.org/entity/Q847743,Dunkin’ Donuts,кофе,США,Куинси,Point(-71.0 42.25),1950
http://www.wikidata.org/entity/Q862180,Second Cup,кофе,Канада,Миссиссога,Point(-79.65 43.6),1975
http://www.wikidata.org/entity/Q874407,Lipton,чай,Великобритания,Глазго,Point(-4.25 55.861111111),1890
http://www.wikidata.org/entity/Q874407,Lipton,чай,Соединённое королевство Великобритании и Ирландии,Глазго,Point(-4.25 55.861111111),1890
http://www.wikidata.org/entity/Q896100,Gepa The Fair Trade Company,кофе,Германия,Вупперталь,Point(7.073055555 51.248055555),1975
http://www.wikidata.org/entity/Q913864,Mariage Frères,чай,Франция,Париж,Point(2.352222222 48.856666666),1854
http://www.wikidata.org/entity/Q944186,Kusmi Tea,чай,Франция,Санкт-Петербург,Point(30.316666666 59.95),1867
http://www.wikidata.org/entity/Q944186,Kusmi Tea,чай,Франция,Париж,Point(2.352222222 48.856666666),1867
http://www.wikidata.org/entity/Q969999,illy,кофе,Италия,Триест,Point(13.770277777 45.650277777),1933
http://www.wikidata.org/entity/Q1020913,Bünting-Gruppe,чай,Германия,Лер,Point(7.45068889 53.22963889),1806
http://www.wikidata.org/entity/Q1054692,Twinings,чай,Великобритания,Андовер,Point(-1.4667 51.2167),1706
http://www.wikidata.org/entity/Q1147545,френч-пресс,кофе,,,,1852
http://www.wikidata.org/entity/Q1147545,френч-пресс,чай,,,,1852
http://www.wikidata.org/entity/Q1185060,Ueshima Coffee Company,кофе,Япония,Minatojima Nakamachi,,1933
http://www.wikidata.org/entity/Q1252809,Douwe Egberts,кофе,Нидерланды,Яуре,Point(5.8 52.965),1753
http://www.wikidata.org/entity/Q1252809,Douwe Egberts,кофе,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1753
http://www.wikidata.org/entity/Q1252809,Douwe Egberts,чай,Нидерланды,Яуре,Point(5.8 52.965),1753
http://www.wikidata.org/entity/Q1252809,Douwe Egberts,чай,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1753
http://www.wikidata.org/entity/Q1502774,Massimo Zanetti Beverage Group,кофе,Италия,Болонья,Point(11.342777777 44.493888888),1973
http://www.wikidata.org/entity/Q2044120,PG Tips,чай,,,,1930
http://www.wikidata.org/entity/Q2086676,Q2086676,кофе,Италия,Мелито-ди-Наполи,Point(14.233333333 40.916666666),1963
http://www.wikidata.org/entity/Q2182096,Katwijk,кофе,Суринам,,,1746
http://www.wikidata.org/entity/Q2425276,Tetley,чай,Великобритания,,,1837
http://www.wikidata.org/entity/Q2637272,Wayne’s Coffee,кофе,Швеция,Стокгольм,Point(18.068611111 59.329444444),1994
http://www.wikidata.org/entity/Q2637272,Wayne’s Coffee,кофе,Россия,Стокгольм,Point(18.068611111 59.329444444),1994
http://www.wikidata.org/entity/Q2695932,Stumptown Coffee Roasters,кофе,США,Портленд,Point(-122.666666666 45.516666666),1999
http://www.wikidata.org/entity/Q2869396,Atlantic Grupa,кофе,Хорватия,Загреб,Point(15.977222222 45.813055555),1991
http://www.wikidata.org/entity/Q2915350,Осем,кофе,Израиль,Шохам,Point(34.942777777 31.996666666),1942
http://www.wikidata.org/entity/Q3019129,DavidsTea,чай,Канада,Монреаль,Point(-73.5868411 45.5033426),2008
http://www.wikidata.org/entity/Q3079325,Ито Эн,чай,Япония,Токио,Point(139.691666666 35.689444444),1966
http://www.wikidata.org/entity/Q3114287,McCafé,кофе,,Ок-Брук,Point(-87.92895 41.83281),1993
http://www.wikidata.org/entity/Q3138841,Van Nelle,кофе,Нидерланды,Роттердам,Point(4.48 51.92),1782
http://www.wikidata.org/entity/Q3138841,Van Nelle,чай,Нидерланды,Роттердам,Point(4.48 51.92),1782
http://www.wikidata.org/entity/Q3268492,Gevalia,кофе,Швеция,Евле,Point(17.144388888 60.674833333),1853
http://www.wikidata.org/entity/Q3541983,Tully's Coffee,кофе,США,Сиэтл,Point(-122.33 47.605),1992
http://www.wikidata.org/entity/Q3554415,Van Houtte,кофе,,Монреаль,Point(-73.5868411 45.5033426),1919
http://www.wikidata.org/entity/Q4033598,Ahmad Tea,чай,,Великобритания,Point(-2.0 54.6),1986
http://www.wikidata.org/entity/Q4051716,Traveler’s Coffee,кофе,,Новосибирск,Point(82.916666666 55.033333333),1997
http://www.wikidata.org/entity/Q4051716,Traveler’s Coffee,кофе,,Россия,Point(94.25 66.416666666),1997
http://www.wikidata.org/entity/Q4051716,Traveler’s Coffee,чай,,Новосибирск,Point(82.916666666 55.033333333),1997
http://www.wikidata.org/entity/Q4051716,Traveler’s Coffee,чай,,Россия,Point(94.25 66.416666666),1997
http://www.wikidata.org/entity/Q4260444,J.CO Donuts,кофе,Индонезия,Джакарта,Point(106.826944444 -6.175277777),2005
http://www.wikidata.org/entity/Q4795497,Aroma Café,кофе,Великобритания,Буэнос-Айрес,Point(-58.381944444 -34.599722222),1991
http://www.wikidata.org/entity/Q4795497,Aroma Café,кофе,Аргентина,Буэнос-Айрес,Point(-58.381944444 -34.599722222),1991
http://www.wikidata.org/entity/Q4906821,Bigelow Tea Company,чай,,Фэрфилд,Point(-73.271944444 41.175833333),1945
