company,companyLabel,countryLabel,foundingYearShort,revenue,revenueYear,revenueCurrencyLabel,employees,employeesYear,equity,equityYear,equityCurrencyLabel
http://www.wikidata.org/entity/Q17165535,BKI Foods,Дания,1960,940000000,2024,DKK,245,2024,,,
http://www.wikidata.org/entity/Q17165535,BKI Foods,Дания,1960,940000000,2024,DKK,245,2024,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,Euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,евро,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,ευρώ,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euró,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euras,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,eiro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,ewro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q576340,Maspex,Польша,1990,602000000,2018,euro,323,2018,,,
http://www.wikidata.org/entity/Q12058335,Jemča,Чехия,1974,152244000,2019,чешская крона,77,2019,12713000,2019,чешская крона
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,Euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,евро,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,ευρώ,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euró,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euras,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,eiro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,ewro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,30791000,2016,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,Euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,евро,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,ευρώ,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euró,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euras,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,eiro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,ewro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q913864,Mariage Frères,Франция,1854,24830428,2014,euro,,,,,
http://www.wikidata.org/entity/Q16908964,T K Group of Industries,,1972,,,,,,,,
http://www.wikidata.org/entity/Q16966589,TWG Tea,Сингапур,2008,,,,,,,,
http://www.wikidata.org/entity/Q17059517,Yorkshire Tea,Великобритания,1886,,,,,,,,
http://www.wikidata.org/entity/Q17064706,Limuru Tea Company Limited,,,,,,,,,,
http://www.wikidata.org/entity/Q17087777,Two Leaves Tea Company,США,2005,,,,,,,,
http://www.wikidata.org/entity/Q17110502,Kakuzi Limited,,,,,,,,,,
http://www.wikidata.org/entity/Q17119335,Upton Tea Imports,,1989,,,,,,,,
http://www.wikidata.org/entity/Q18161207,Джок Уиллис Шиппинг Лайн,,1830,,,,,,,,
http://www.wikidata.org/entity/Q19872246,American Tea Room,,2003,,,,,,,,
